"";"GSM2877660";"GSM2877661";"GSM2877662";"GSM2877663";"GSM2877664";"GSM2877665";"GSM2877666";"GSM2877667";"REFSEQ";"GB_ACC";"LOCUSLINK_ID";"GENE_SYMBOL";"GENE_NAME";"UNIGENE_ID";"ENSEMBL_ID";"ACCESSION_STRING";"CHROMOSOMAL_LOCATION";"DESCRIPTION";"GO_ID";"SEQUENCE";"SPOT_ID";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"A_73_100605";-3,63849837272727;0,0694662441818182;-3,42225388181818;-2,91097252727273;-0,187585786363636;-2,68336688181818;1,50974786363636;0,501953993636364;NA;NA;615152;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-3,07403020848485;-0,731582075900826;-4,46998777246999;0,00082786394458614;0,00840087927416268;-0,503308019996104
"A_73_104596";1,72725227272727;0,622257925454545;0,808385544545455;0,799367906363636;1,26673927272727;-1,51347473636364;-1,50332949090909;-8,4816078;NA;NA;281387;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3,52931222501515;-0,985811465309917;2,80881983775743;0,016217730714672;0,0580420552423824;-3,43796314468486
"A_73_104921";2,4624707;0,238836331363636;2,54861350909091;3,04748398181818;4,20185119090909;-0,282348242727273;-3,13225012727273;-3,42225388181818;NA;NA;281363;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3,67939663311212;0,363698230024793;4,18723414767638;0,00134926497948101;0,011053302107956;-0,990238180860397
"A_73_112171";-2,26817382727273;0,238403234545455;-1,03614993545455;-1,59992938181818;-3,46130509090909;-2,14204590909091;2,59822813636364;3,01614738181818;NA;NA;281773;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-3,93109187331818;0,0753264574173552;-5,66310431725525;0,000118634685096826;0,00394063677024129;1,43413778912825
"A_73_115053";-2,05822852727273;0,0694662441818182;-2,04225809090909;-0,88169129;-2,43042412727273;-1,58892605454545;2,705838;2,90195232727273;NA;NA;767968;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-3,72701248684848;0,205419610628099;-6,28086847572266;4,69161102410708e-05;0,0025336939392887;2,35454186370001
"A_73_115863";1,93321261818182;0,0694662441818182;1,44500720909091;1,25962337818182;1,28140097272727;2,46844282727273;-1,02164419272727;-2,58609779090909;NA;NA;407098;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3,82611832378788;-0,329619151024793;8,43842121029073;2,7023209656304e-06;0,000874237371113055;5,1365032866176
"A_73_115918";-3,42225388181818;0,0694662441818182;-3,585652;-2,70084292727273;-0,0327530343636364;-2,06054981818182;1,96435830909091;1,06485656363636;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-3,18379168472727;-0,508252864396694;-4,61623543602318;0,00064561170745685;0,00767512741579444;-0,25521090649869
"A_73_120001";1,41839022727273;0,0694662441818182;0,778134094545455;1,04230297272727;0,844802123636364;1,7519806;-1,37156018181818;-3,5314175;NA;NA;282165;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3,77017876433333;-0,729538243090909;9,26811535975079;1,03579798173944e-06;0,000571772148642458;6,0459821659992
"A_73_121159";2,23904210909091;0,960367115454546;0,723747216363636;1,40300318181818;0,0720514173181818;0,707478004545455;-3,63849837272727;-2,95933425454545;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3,14422554876515;-0,411578590491736;4,92558014495412;0,000385173838784551;0,00653107215468933;0,260299304053301
"A_73_P030661";2,39467143636364;2,53092545454545;1,37136503636364;2,09748258181818;1,53795081818182;0,0764701579545455;-2,1632611;-2,62906907272727;NA;NA;617473;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3,43800357881061;0,105415348078512;6,78441970400392;2,28873832129422e-05;0,00191662103905621;3,06242535723157
"A_73_P039231";-0,815060698181818;-2,11047371818182;3,39573149090909;-1,10664189090909;-2,65554838181818;-0,28807857;4,08513064545455;4,67498251818182;NA;NA;541294;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-4,9207478745303;1,64002495130165;-3,52674404667832;0,00437157141958569;0,0231517447860855;-2,15666398011722
"A_73_P040546";-3,68472628181818;0,0694662441818182;-3,46130509090909;-2,30875749090909;-0,183122720454545;-2,45533605454545;1,17011663909091;0,731283876363636;NA;NA;614476;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-3,02299815901515;-0,62987349346281;-4,57161971321095;0,000696282981756691;0,00788105074612383;-0,330610868668725
"A_73_P047354";1,72479957272727;-0,157175108545455;2,54366939090909;1,09786111818182;3,20120506363636;0,217039629454545;-3,585652;-3,89352077272727;NA;NA;510801;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3,82618751817576;-0,301276200231405;4,83502075694029;0,000447442084158258;0,00682927228519899;0,110734968107512
"A_73_P073277";1,73118778181818;-0,0713732459090909;2,43202010909091;1,16611229636364;3,46146287272727;0,387936202727273;-3,39212437272727;-3,63849837272727;NA;NA;786777;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3,76507953585758;-0,19350878622314;4,86330489548604;0,000426931171675093;0,0067495270551296;0,15757029756282
"A_73_P073283";1,68179711818182;-0,234405388181818;2,36783861818182;1,06556934272727;3,04748398181818;0,143451431181818;-4,04771248181818;-2,91097252727273;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3,82089224322121;-0,391480017479339;4,74034635197435;0,000523958073279969;0,00709944918802433;-0,0468323532971899
"A_73_P075628";2,46844282727273;0,0694662441818182;1,51070278181818;1,69917658181818;0,761538295454546;4,15643063636364;-0,827704997272727;-4,90396094545455;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4,47703181454546;-0,257388233338843;5,65168029427693;0,000120747971078522;0,00396265469951609;1,41657323655814
"A_73_P080766";-0,532189761818182;-8,4816078;0,0622775778181818;-8,4816078;1,03293184272727;-6,36774935454546;-5,54528545454545;-0,0201722928181818;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-3,2161298818303;-2,33278033028926;-1,58097798069684;0,1407011147013;0,26793586699795;-5,42924985361518
"A_73_P099281";0,0616903304545455;-1,70648114545455;-0,277954101818182;-1,6931339;-1,72123955454545;-1,46297123636364;1,86365581818182;2,04007376363636;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-3,00396872795455;0,232092062933884;-8,10796898960736;4,03815766977176e-06;0,000971539793485696;4,75113419043475
"A_73_P099337";0,0616903304545455;-0,148993059181818;-0,32480543;-0,392907533636364;0,0197831069090909;-0,44120415;2,80859687272727;2,81621256363636;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-3,16149693712121;1,23263793975207;-21,4845000958754;1,02503430115034e-10;4,12208565789882e-06;13,5167101381998
"A_73_P099361";0,0616903304545455;-1,60264716363636;-0,310033190909091;-1,74127725454545;-1,58682900909091;-1,31950513636364;1,80339201818182;2,15494294545455;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-3,09994324098485;0,325964872190083;-9,01133861142987;1,3835867480088e-06;0,000656966542957896;5,77307352127116
"A_73_P099481";0,0616903304545455;-0,369764760909091;-0,212837826818182;-0,74702727;-0,5095569;-0,498227728181818;2,69035790909091;2,86544501818182;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-3,42934944833333;1,17950784454545;-19,6435111636831;2,8289655191125e-10;4,12208565789882e-06;12,8462735351449
"A_73_P099492";-0,141192999454545;-0,794833747272727;0,0622775778181818;-1,26535110909091;-0,621931384545455;-0,964573592727273;2,14969808181818;2,60437620909091;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-3,35687577830303;0,904918417289256;-12,2231658102503;5,49757841851088e-08;0,000184858188775666;8,7132872297046
"A_73_P100081";1,10347379090909;0,249619916727273;0,763971285454545;0,0740129947272727;0,762700335454546;0,618712126363636;-1,61991162727273;-3,46130509090909;NA;NA;281240;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3,53895609312121;-1,01320133102479;9,65220815955943;6,79510312507039e-07;0,000467154164634705;6,44058261368208
"A_73_P151021";0,0616903304545455;-0,610048076363636;-0,119420094727273;-0,083122774;-0,4169758;-0,123151995454545;1,62698072727273;2,23383473636364;NA;NA;538565;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-3,01990265077273;1,15751162139669;-9,29275067875557;1,00775575366301e-06;0,000568919355823222;6,07177577470189
"A_73_P363396";1,23397116363636;0,873511958181818;2,39037646363636;0,259467340545455;0,0720514173181818;-0,036431104;-2,50497310909091;-4,04771248181818;NA;NA;518004;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3,34747899399545;-0,722756821020661;4,86748675807696;0,000423983399104311;0,00672893944991713;0,16448559696245
"A_73_P459731";1,30303143636364;0,0694662441818182;0,851515332727273;0,64431659;0,978557454545455;0,9532361;-1,46070804545455;-3,36167348181818;NA;NA;532432;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3,95208595721212;-0,996382181520661;9,9125649187811;5,14470172787665e-07;0,000460279152129496;6,69911928074902
"A_73_P487578";0,874861419090909;0,0694662441818182;0,58297313;0,861531071818182;0,764983661818182;1,54297918181818;-1,10027457545455;-2,66390136363636;NA;NA;100141067;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3,60873414048485;-0,857534582099173;7,80041766678238;5,93239309400407e-06;0,00106999546824884;4,37992970580019
